Volgorde;Veld;Invoer;Status;OCLC parameter;OCLC endpoint;Waarde / patroon;Bron keuzelijst;Voorbeeld;Opmerking
1;Vrij zoeken;vrij veld;JA;term + searchScope;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;term=<tekst>&searchScope=anything;invoer;term=kikker&searchScope=anything;Rechtstreeks OCLC Discovery-zoekterm.
2;Titel;vrij veld;JA;term + searchScope;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;term=<titel>&searchScope=title;invoer;term=kikker&searchScope=title;Als Vrij zoeken al gevuld is, wordt Titel aanvullend als termFilter=title:<titel> meegestuurd zodat beide criteria behouden blijven.
3;Auteur;autocomplete;JA;term + searchScope / facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;term=<auteur>&searchScope=author | authorFacet:<exacte OCLC-facetwaarde>;OCLC authorFacet;"term=velthuijs&searchScope=author | facetFilter=authorFacet:Velthuijs, Max";Auteur alleen gebruikt vrije auteurzoeking. Als Titel of Vrij zoeken de primaire term is, wordt de gekozen exacte authorFacet-waarde uit de OCLC-suggesties gebruikt.
4;Formaat;lijst;JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;mediumTypeCode:<code>;mediumtypecode.txt;facetFilter=mediumTypeCode:BOE;Code uit de bestaande WISE-metadatalijst wordt rechtstreeks gebruikt.
5;Bibliotheek;lijst;JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;branchId:<id>;branch.txt;facetFilter=branchId:1001;"Dropdown-label komt uit name; de OCLC-waarde komt rechtstreeks uit id."
6;Plaatsingscode;vrij veld;CHECK;termFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;placementCode:<waarde>;invoer;termFilter=placementCode:<waarde>;Uitgeschakeld in de mockup totdat de exacte geïndexeerde OCLC-veldnaam is bevestigd.
7;Jaar;jaar (4 cijfers);JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;customPublicationYear:<jaar>;invoer;facetFilter=customPublicationYear:2025;"OCLC ondersteunt customPublicationYear rechtstreeks met een los jaartal; geen Zulu-datum nodig."
8;Jaar tot;jaar (4 cijfers);JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;customPublicationYear:<van>-<tot>;invoer;facetFilter=customPublicationYear:2022-2023;Inclusief jaarinterval. Bij één ingevuld jaar wordt alleen dat jaar gebruikt.
9;Genre;lijst;JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;genreCode:<code>;genrecode.txt;facetFilter=genreCode:DE;Code uit de bestaande WISE-metadatalijst wordt rechtstreeks gebruikt.
10;Taal;lijst;JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;languageCode:<code>;languagecode.txt;facetFilter=languageCode:GER;Code uit de bestaande WISE-metadatalijst wordt rechtstreeks gebruikt.
11;Onderwerp;vrij veld;CHECK;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;subject:<waarde>;invoer;facetFilter=subject:<waarde>;Uitgeschakeld in de mockup totdat matching en waardeconventie zijn bevestigd.
12;ISSN;vrij veld;CHECK;termFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;issn:<waarde>;invoer;termFilter=issn:<waarde>;Uitgeschakeld in de mockup totdat veldnaam en normalisatie zijn bevestigd.
13;Uitgever;vrij veld;CHECK;termFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;publisher:<waarde>;invoer;termFilter=publisher:<waarde>;Uitgeschakeld in de mockup totdat de geïndexeerde OCLC-veldnaam is bevestigd.
14;ISBN;vrij veld;CHECK;termFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;isbn:<waarde>;invoer;termFilter=isbn:<waarde>;Uitgeschakeld in de mockup totdat de exacte OCLC-termFilterwerking is bevestigd.
15;Reeks;vrij veld;JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;series:<waarde>;invoer;facetFilter=series:Tijgerlezen;"Rechtstreeks OCLC-facet; hierdoor kan Reeks met andere criteria worden gecombineerd zonder eigen qs/scope-vertaallaag."
16;Collectie;lijst;CHECK;;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;;nog te bepalen;;Uitgeschakeld in de mockup totdat een bevestigde OCLC-mapping en vullijst beschikbaar zijn.
17;Jeugd;lijst;JA;facetFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;targetAudienceCode:<code>;targetaudiencecode.txt;facetFilter=targetAudienceCode:AB;Code uit de bestaande WISE-metadatalijst wordt rechtstreeks gebruikt.
18;Inhoud;vrij veld;CHECK;termFilter;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;content:<waarde>;invoer;termFilter=content:<waarde>;Uitgeschakeld in de mockup totdat de geïndexeerde OCLC-veldnaam is bevestigd.
19;Aanwezig;checkbox;JA;filterAvailableTitles;/branch/{branchId}/perspective/{perspectiveId}/titlesummary;true;invoer;filterAvailableTitles=true;Rechtstreekse OCLC Discovery-queryparameter.
